               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.017958,           0.0052088,                   0,             0.98715,                 0.9,             0.90368,             0.65436,            0.024644,           0.0039711,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.017826,           0.0054899,                   0,             0.96424,                 0.9,             0.90197,             0.65038,            0.024247,            0.003953,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.017867,           0.0052703,                   0,             0.98288,                 0.9,              0.9049,              0.6265,            0.027745,           0.0041571,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.017951,           0.0052534,                   0,             0.89369,                 0.9,             0.89769,              0.6799,            0.024633,            0.004096,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.017845,           0.0052395,                   0,                   1,             0.89515,             0.90738,             0.68915,            0.024526,           0.0050344,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.017913,           0.0055473,                   0,             0.89873,             0.88854,             0.89452,             0.63348,            0.026994,           0.0050941,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.017562,           0.0053197,                   0,             0.89447,                 0.9,             0.89769,             0.66456,            0.023842,           0.0048633,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.017628,           0.0054811,                   0,             0.99124,                 0.9,             0.90707,             0.69755,            0.025826,           0.0040526,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.017432,           0.0052765,                   0,                   1,             0.89443,             0.90914,             0.65722,            0.025752,           0.0048852,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.017539,           0.0051647,                   0,             0.99251,                 0.8,             0.89769,             0.64194,            0.027263,           0.0059938,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.017822,            0.005323,                   0,                   1,             0.89612,             0.90471,              0.6547,            0.024231,           0.0048723,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.017249,           0.0052175,                   0,             0.99571,                 0.8,             0.89769,             0.62687,            0.027728,           0.0048752,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.017202,           0.0050664,                   0,             0.99081,                 0.9,             0.90803,             0.64618,            0.025161,           0.0045753,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.017507,           0.0053653,                   0,             0.96246,                 0.9,             0.89902,             0.66539,            0.024438,           0.0044775,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.017469,           0.0051882,                   0,                   1,             0.89439,             0.90625,             0.67486,            0.024219,           0.0053148,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,             0.01725,           0.0050525,                   0,             0.99452,                 0.9,             0.90452,             0.65998,            0.025306,           0.0040832,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.017294,           0.0052146,                   0,             0.99739,                 0.8,             0.89057,             0.63571,            0.027075,            0.005867,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.017247,           0.0051256,                   0,             0.99795,                 0.9,             0.91268,             0.66047,            0.024954,           0.0041895,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.017219,            0.005129,                   0,             0.96961,                 0.9,             0.91563,             0.66655,             0.02642,           0.0048957,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.017208,           0.0051956,                   0,             0.89431,                 0.9,              0.8951,             0.66966,            0.026458,           0.0044818,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.016871,           0.0051442,                   0,             0.98688,                 0.9,             0.90679,             0.68147,            0.024512,           0.0043526,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,             0.01693,           0.0051929,                   0,             0.98731,                 0.9,               0.906,             0.67996,             0.02384,           0.0044031,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.016955,           0.0052086,                   0,             0.99407,                 0.9,                0.91,             0.68118,            0.023142,           0.0038581,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.016717,           0.0052114,                   0,             0.99263,                 0.8,              0.8708,             0.59865,            0.028067,            0.006093,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.016836,           0.0050785,                   0,             0.89917,             0.89254,             0.89553,             0.62846,            0.026512,           0.0049839,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.016842,           0.0050024,                   0,             0.89954,              0.8959,             0.88875,             0.62006,            0.028807,           0.0052261,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.016814,           0.0051483,                   0,             0.89646,                 0.9,             0.89679,             0.66394,            0.022814,           0.0047307,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.016621,           0.0049687,                   0,                   1,             0.88073,             0.90707,             0.66262,            0.024988,           0.0042934,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.016733,           0.0050436,                   0,             0.97664,                 0.8,             0.89229,             0.64368,            0.024912,           0.0048089,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.016527,           0.0048766,                   0,             0.89458,                 0.9,             0.89769,             0.63914,            0.024386,           0.0040245,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.016622,           0.0049702,                   0,             0.89481,                 0.9,                 0.9,             0.64735,             0.02591,            0.004282,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.016453,           0.0050556,                   0,             0.99523,                 0.9,             0.91047,             0.68343,            0.025156,           0.0039234,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.016669,           0.0050515,                   0,             0.88396,                 0.9,             0.89838,             0.65489,            0.024863,           0.0040712,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.016486,           0.0051044,                   0,             0.99132,                 0.9,             0.91097,             0.65472,             0.02666,           0.0040116,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.016321,           0.0050477,                   0,              0.9637,                 0.9,             0.91097,             0.66815,            0.026596,           0.0040698,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.016403,           0.0049135,                   0,             0.89436,                 0.9,             0.89838,             0.67003,            0.025241,           0.0047812,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.016158,           0.0049953,                   0,             0.99317,                 0.9,             0.90838,             0.70018,            0.023486,           0.0041099,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.015897,           0.0048471,                   0,             0.88974,                 0.9,               0.896,             0.66889,            0.024805,           0.0047493,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.016267,           0.0049518,                   0,             0.98737,                 0.9,             0.90471,             0.68865,            0.023089,           0.0044208,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.016417,           0.0051758,                   0,             0.98341,                 0.9,             0.90914,             0.66426,            0.022334,           0.0039859,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.016266,           0.0048737,                   0,              0.9911,                 0.9,             0.90914,             0.64163,            0.025763,           0.0042596,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.016134,           0.0050954,                   0,             0.95746,                 0.9,             0.90769,              0.6626,            0.026362,           0.0043054,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.015949,            0.004963,                   0,             0.89453,                 0.9,             0.89803,             0.67327,            0.024088,           0.0044618,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.015845,           0.0049254,                   0,              0.8971,                 0.9,             0.89738,             0.67959,            0.026803,           0.0046644,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.015964,           0.0050729,                   0,             0.99267,                 0.9,             0.90914,             0.68226,            0.025742,           0.0040998,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.016134,           0.0047268,                   0,             0.89557,                 0.9,             0.89803,             0.68129,             0.02424,           0.0040951,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.015958,           0.0051687,                   0,             0.98621,                 0.9,             0.90803,             0.70785,            0.024893,           0.0038285,                   0,           0.0070696,           0.0070696,           0.0070696
